"","party","fullname","count","score","score2","error","error2"
"871","afd","Mirco Karsten_Hanker",13743,1.17638482051727,-0.32697957541865,0.0389791967168617,0.0212185474700423
"872","spd","Michael_Roth",45310,-0.200145307679237,0.374861892788965,0.0111096009674372,0.0136398660439434
"873","spd","Michael Georg_Schrodi",15836,-0.23172615451382,0.247472879167374,0.0185594189129934,0.0235724618501717
"874","die linke","Mizgin_Ciftci",2452,-0.431636153162399,-1.25713519349979,0.062826875676624,0.109884754133339
"875","grüne","Margaux Gerlind Jeanne Hildegard_Erdmann",8566,-0.352854563266813,-0.138075467073787,0.027004643655965,0.0299847388323233
"876","fdp","Matthias_Krause",5384,0.153352317311108,0.635122696079795,0.0341379325428688,0.0392405640140859
"877","afd","Matthias_Moosdorf",76,1.23901676932237,-0.120192750176787,0.612711486559609,0.274285039696029
"878","grüne","Christa_Möller-Metzger",3812,-0.597895542882357,0.0865230092962239,0.0321941405157495,0.0297340302207902
"879","cdu","Monica Andrea_Wüllner",21657,0.069813482288639,0.666952472068537,0.0192499286271701,0.027144382363837
"880","spd","Rosemarie Helga_Moog",9958,-0.319216684310161,0.0558739150181601,0.0226889149583054,0.0355571172639291
"881","cdu","Moritz Paul Georg_Oppelt",713,0.126131541657434,1.06113937786098,0.12509954814718,0.142454406260921
"882","grüne","Moritz_Müller",2192,-0.443236198205407,0.450231704726142,0.0407841479052559,0.0746201183731049
"883","die linke","Moritz_Kenk",5920,-0.281599688845387,-0.27806039025541,0.0344942369966496,0.0427823613130074
"884","afd","Andreas_Mrosek",4270,1.21131009291443,-0.245935107273887,0.0773035329681689,0.0389909761085114
"885","fdp","Matthias_Seestern-Pauly",4597,0.039470463871321,0.594173912194565,0.0340629923710112,0.0436648464503727
"886","fdp","Michael_Terwiesche",673,0.142584543161023,0.429387177067498,0.111487757044826,0.110743801953561
"887","fdp","Manfred_Todtenhausen",6856,0.057809672297755,0.589130851832609,0.0342328524812081,0.0380084466908437
"888","cdu","Sepp_Müller",87180,0.0432985583465548,0.816211469976333,0.00859625469319269,0.0132646154085542
"889","fdp","Roman Andreas Dirk_Müller-Böhm",731,0.181563206527083,0.678506618335897,0.0692204120308371,0.0752528781880863
"890","spd","Detlef_Müller",35364,-0.142947676637361,0.293445311834556,0.0131266882945782,0.0145087540932279
"891","grüne","Manuel_Muja",2074,-0.561780833162819,-0.0779536587418544,0.0525937943946423,0.0703721005972067
"892","cdu","Ernst Michael_Abercron",6005,0.0952953200111026,0.804879299970038,0.0345778141420612,0.0446742528053171
"893","die linke","Matthias Walter_Birkwald",9280,-0.301104124189835,-0.74215653514706,0.0313775038564246,0.0426618969289346
"894","grüne","Maria Ingrid_Wißmiller",459,-0.63807265553457,-0.121084547778088,0.123148908261849,0.140146690834692
"895","cdu","Norbert Alois_Röttgen",96026,-0.011422341887901,0.800471471154222,0.00859580094652252,0.0136980560479233
"896","die linke","Nina Sophie_Treu",36332,-0.515544019670204,-0.926517241251081,0.0132296694474069,0.0225470314735235
"897","grüne","Nadine_Mai",630,-0.428518812773373,0.215034324172829,0.0946073539611301,0.106838614728336
"898","cdu","Nadine_Schön",6291,-0.12347729452399,1.00916086511236,0.0264678964444469,0.0521666199473111
"899","spd","Nadja_Sthamer",14530,-0.332305587370465,0.131458085368543,0.0225747628399312,0.0308525313453694
"900","grüne","Nadja_Weippert",6352,-0.271351932100618,-0.00883880391130334,0.0371080613986806,0.0317182633820209
"901","afd","Marco Manuel_Näger",29,-0.0202040831788445,0.772769151990018,0,0
"902","grüne","Naomie Sarah_Hübler",233,0.0594773571115913,-0.206038483832902,0.18121365716848,0.14197879482058
"903","spd","Natalie_Pawlik",68,-0.858262606562227,-0.828319920505111,0.106932306065589,0.144811903711833
"904","grüne","Antonius_Naumann",76106,-0.301879874817998,-0.0853815773514354,0.0094448904019421,0.0103467044984283
"905","fdp","Nemir_Ali",10,0,0,NA,NA
"906","grüne","Martina_Neubauer",1758,-0.397463284876739,-0.0624740736533105,0.071665903539546,0.0696744061914305
"907","spd","Nadine_Heselhaus",2297,0.0190293460984329,0.0966468667453399,0.0776340420178122,0.0559215252445816
"908","grüne","Nicole_Holtz",833,-0.643965367206183,-0.13400465358,0.0773845661750607,0.0943205127627168
"909","afd","Nicolas_Gregg",25,2.24767110569854,-0.500377473963168,0.625916492649783,0.28629053673917
"910","afd","Nico_Köhler",4466,0.525682563590374,-0.110015743529652,0.0516283737504253,0.0457893886352701
"911","fdp","Nicole Anna Elisabeth_Bauer",15674,-0.0345692561516673,0.552941216660802,0.0188777452676052,0.0258466319277907
"912","afd","Nicole_Höchst",12415,1.11023031123868,-0.216035392851783,0.0443945109012268,0.0220520192579346
"913","die linke","Nicole Stephanie_Gohlke",33679,-0.367774535848769,-0.816621991748296,0.014575453110301,0.0208565484158956
"914","grüne","Nicole-Annette_Heger",9987,-0.54455375129249,0.0552303527626816,0.0221907030853803,0.0228819443483447
"915","grüne","Nicole-Annette_Heger",9036,-0.586368992437009,0.0492987596135674,0.0212963464309566,0.0203390582054903
"916","afd","Nicole_Jordan",30364,1.42094037776022,-0.334029853309707,0.0339764047079063,0.0162888949790818
"917","fdp","Nicole_Westig",3177,-0.114117271779296,0.431054872727869,0.044450243468819,0.0438684232587043
